,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,diesel,gas,aspiration-std,aspiration-turbo
0,3,122.0,alfa-romero,two,convertible,rwd,front,88.6,168.8,64.1,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000,21,8.703703703703704,13495,0.0,1.0,1.0,0.0
1,3,122.0,alfa-romero,two,convertible,rwd,front,88.6,168.8,64.1,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000,21,8.703703703703704,16500,0.0,1.0,1.0,0.0
2,1,122.0,alfa-romero,two,hatchback,rwd,front,94.5,171.2,65.5,0.8762541806020067,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000,19,9.038461538461538,16500,0.0,1.0,1.0,0.0
3,2,164,audi,four,sedan,fwd,front,99.8,176.6,66.2,0.9080267558528428,2337,ohc,four,109,mpfi,3.19,3.40,10.0,102.0,5500,24,7.833333333333333,13950,0.0,1.0,1.0,0.0
4,2,164,audi,four,sedan,4wd,front,99.4,176.6,66.4,0.9080267558528428,2824,ohc,five,136,mpfi,3.19,3.40,8.0,115.0,5500,18,10.681818181818182,17450,0.0,1.0,1.0,0.0
5,2,122.0,audi,two,sedan,fwd,front,99.8,177.3,66.3,0.8879598662207359,2507,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,19,9.4,15250,0.0,1.0,1.0,0.0
6,1,158,audi,four,sedan,fwd,front,105.8,192.7,71.4,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,19,9.4,17710,0.0,1.0,1.0,0.0
7,1,122.0,audi,four,wagon,fwd,front,105.8,192.7,71.4,0.931438127090301,2954,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,19,9.4,18920,0.0,1.0,1.0,0.0
8,1,158,audi,four,sedan,fwd,front,105.8,192.7,71.4,0.9347826086956522,3086,ohc,five,131,mpfi,3.13,3.40,8.3,140.0,5500,17,11.75,23875,0.0,1.0,0.0,1.0
9,0,122.0,audi,two,hatchback,4wd,front,99.5,178.2,67.9,0.8695652173913044,3053,ohc,five,131,mpfi,3.13,3.40,7.0,160.0,5500,16,10.681818181818182,,0.0,1.0,0.0,1.0
10,2,192,bmw,two,sedan,rwd,front,101.2,176.8,64.8,0.9080267558528428,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101.0,5800,23,8.10344827586207,16430,0.0,1.0,1.0,0.0
11,0,192,bmw,four,sedan,rwd,front,101.2,176.8,64.8,0.9080267558528428,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101.0,5800,23,8.10344827586207,16925,0.0,1.0,1.0,0.0
12,0,188,bmw,two,sedan,rwd,front,101.2,176.8,64.8,0.9080267558528428,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250,21,8.392857142857142,20970,0.0,1.0,1.0,0.0
13,0,188,bmw,four,sedan,rwd,front,101.2,176.8,64.8,0.9080267558528428,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250,21,8.392857142857142,21105,0.0,1.0,1.0,0.0
14,1,122.0,bmw,four,sedan,rwd,front,103.5,189.0,66.9,0.931438127090301,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250,20,9.4,24565,0.0,1.0,1.0,0.0
15,0,122.0,bmw,four,sedan,rwd,front,103.5,189.0,66.9,0.931438127090301,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400,16,10.681818181818182,30760,0.0,1.0,1.0,0.0
16,0,122.0,bmw,two,sedan,rwd,front,103.5,193.8,67.9,0.8979933110367894,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400,16,10.681818181818182,41315,0.0,1.0,1.0,0.0
17,0,122.0,bmw,four,sedan,rwd,front,110.0,197.0,70.9,0.9414715719063546,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400,15,11.75,36880,0.0,1.0,1.0,0.0
18,2,121,chevrolet,two,hatchback,fwd,front,88.4,141.1,60.3,0.8896321070234114,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100,47,4.433962264150943,5151,0.0,1.0,1.0,0.0
19,1,98,chevrolet,two,hatchback,fwd,front,94.5,155.9,63.6,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400,38,5.465116279069767,6295,0.0,1.0,1.0,0.0
20,0,81,chevrolet,four,sedan,fwd,front,94.5,158.8,63.6,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400,38,5.465116279069767,6575,0.0,1.0,1.0,0.0
21,1,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500,37,5.7317073170731705,5572,0.0,1.0,1.0,0.0
22,1,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,31,6.184210526315789,6377,0.0,1.0,1.0,0.0
23,1,118,dodge,two,hatchback,fwd,front,93.7,157.3,63.8,0.8494983277591973,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500,24,7.833333333333333,7957,0.0,1.0,0.0,1.0
24,1,148,dodge,four,hatchback,fwd,front,93.7,157.3,63.8,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,31,6.184210526315789,6229,0.0,1.0,1.0,0.0
25,1,148,dodge,four,sedan,fwd,front,93.7,157.3,63.8,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,31,6.184210526315789,6692,0.0,1.0,1.0,0.0
26,1,148,dodge,four,sedan,fwd,front,93.7,157.3,63.8,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500,31,6.184210526315789,7609,0.0,1.0,1.0,0.0
27,1,148,dodge,,sedan,fwd,front,93.7,157.3,63.8,0.8461538461538463,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500,24,7.833333333333333,8558,0.0,1.0,0.0,1.0
28,-1,110,dodge,four,wagon,fwd,front,103.3,174.6,64.6,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000,24,7.833333333333333,8921,0.0,1.0,1.0,0.0
29,3,145,dodge,two,hatchback,fwd,front,95.9,173.2,66.3,0.8394648829431439,2811,ohc,four,156,mfi,3.60,3.90,7.0,145.0,5000,19,9.791666666666666,12964,0.0,1.0,0.0,1.0
30,2,137,honda,two,hatchback,fwd,front,86.6,144.6,63.9,0.8494983277591973,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800,49,4.351851851851852,6479,0.0,1.0,1.0,0.0
31,2,137,honda,two,hatchback,fwd,front,86.6,144.6,63.9,0.8494983277591973,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000,31,6.184210526315789,6855,0.0,1.0,1.0,0.0
32,1,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,0.8795986622073579,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500,38,5.595238095238095,5399,0.0,1.0,1.0,0.0
33,1,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,0.8795986622073579,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000,30,6.911764705882353,6529,0.0,1.0,1.0,0.0
34,1,101,honda,two,hatchback,fwd,front,93.7,150.0,64.0,0.8795986622073579,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000,30,6.911764705882353,7129,0.0,1.0,1.0,0.0
35,0,110,honda,four,sedan,fwd,front,96.5,163.4,64.0,0.911371237458194,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000,30,6.911764705882353,7295,0.0,1.0,1.0,0.0
36,0,78,honda,four,wagon,fwd,front,96.5,157.1,63.9,0.9749163879598662,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000,30,6.911764705882353,7295,0.0,1.0,1.0,0.0
37,0,106,honda,two,hatchback,fwd,front,96.5,167.5,65.2,0.8913043478260869,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800,27,7.121212121212121,7895,0.0,1.0,1.0,0.0
38,0,106,honda,two,hatchback,fwd,front,96.5,167.5,65.2,0.8913043478260869,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800,27,7.121212121212121,9095,0.0,1.0,1.0,0.0
39,0,85,honda,four,sedan,fwd,front,96.5,175.4,65.2,0.9046822742474917,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800,27,7.121212121212121,8845,0.0,1.0,1.0,0.0
40,0,85,honda,four,sedan,fwd,front,96.5,175.4,62.5,0.9046822742474917,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800,27,7.121212121212121,10295,0.0,1.0,1.0,0.0
41,0,85,honda,four,sedan,fwd,front,96.5,175.4,65.2,0.9046822742474917,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800,24,8.392857142857142,12945,0.0,1.0,1.0,0.0
42,1,107,honda,two,sedan,fwd,front,96.5,169.1,66.0,0.8528428093645485,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500,25,7.580645161290323,10345,0.0,1.0,1.0,0.0
43,0,122.0,isuzu,four,sedan,rwd,front,94.3,170.7,61.8,0.8946488294314382,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800,24,8.10344827586207,6785,0.0,1.0,1.0,0.0
